k = 5, p# = 5.000000, sp# = 9.000000, ratio = 0.555556
k = 25, p# = 21.000000, sp# = 49.000000, ratio = 0.428571
k = 45, p# = 28.000000, sp# = 89.000000, ratio = 0.314607
k = 65, p# = 35.000000, sp# = 129.000000, ratio = 0.271318
k = 85, p# = 45.000000, sp# = 169.000000, ratio = 0.266272
k = 105, p# = 51.000000, sp# = 209.000000, ratio = 0.244019
k = 125, p# = 60.000000, sp# = 249.000000, ratio = 0.240964
k = 145, p# = 67.000000, sp# = 289.000000, ratio = 0.231834
k = 165, p# = 78.000000, sp# = 329.000000, ratio = 0.237082
k = 185, p# = 86.000000, sp# = 369.000000, ratio = 0.233062
k = 205, p# = 92.000000, sp# = 409.000000, ratio = 0.224939
k = 225, p# = 99.000000, sp# = 449.000000, ratio = 0.220490
k = 245, p# = 104.000000, sp# = 489.000000, ratio = 0.212679
k = 265, p# = 110.000000, sp# = 529.000000, ratio = 0.207940
k = 285, p# = 117.000000, sp# = 569.000000, ratio = 0.205624
k = 305, p# = 122.000000, sp# = 609.000000, ratio = 0.200328
k = 325, p# = 126.000000, sp# = 649.000000, ratio = 0.194145
k = 345, p# = 133.000000, sp# = 689.000000, ratio = 0.193033
k = 365, p# = 137.000000, sp# = 729.000000, ratio = 0.187929
k = 385, p# = 142.000000, sp# = 769.000000, ratio = 0.184655
k = 405, p# = 150.000000, sp# = 809.000000, ratio = 0.185414
k = 425, p# = 155.000000, sp# = 849.000000, ratio = 0.182568
k = 445, p# = 162.000000, sp# = 889.000000, ratio = 0.182227
k = 465, p# = 167.000000, sp# = 929.000000, ratio = 0.179763
k = 485, p# = 171.000000, sp# = 969.000000, ratio = 0.176471
k = 505, p# = 176.000000, sp# = 1009.000000, ratio = 0.174430
k = 525, p# = 178.000000, sp# = 1049.000000, ratio = 0.169685
k = 545, p# = 186.000000, sp# = 1089.000000, ratio = 0.170799
k = 565, p# = 190.000000, sp# = 1129.000000, ratio = 0.168291
k = 585, p# = 199.000000, sp# = 1169.000000, ratio = 0.170231
k = 605, p# = 201.000000, sp# = 1209.000000, ratio = 0.166253
k = 625, p# = 206.000000, sp# = 1249.000000, ratio = 0.164932
k = 645, p# = 213.000000, sp# = 1289.000000, ratio = 0.165244
k = 665, p# = 215.000000, sp# = 1329.000000, ratio = 0.161776
k = 685, p# = 220.000000, sp# = 1369.000000, ratio = 0.160701
k = 705, p# = 228.000000, sp# = 1409.000000, ratio = 0.161817
k = 725, p# = 231.000000, sp# = 1449.000000, ratio = 0.159420
k = 745, p# = 236.000000, sp# = 1489.000000, ratio = 0.158496
k = 765, p# = 243.000000, sp# = 1529.000000, ratio = 0.158927
k = 785, p# = 248.000000, sp# = 1569.000000, ratio = 0.158062
k = 805, p# = 252.000000, sp# = 1609.000000, ratio = 0.156619
k = 825, p# = 256.000000, sp# = 1649.000000, ratio = 0.155246
k = 845, p# = 261.000000, sp# = 1689.000000, ratio = 0.154529
k = 865, p# = 268.000000, sp# = 1729.000000, ratio = 0.155003
k = 885, p# = 270.000000, sp# = 1769.000000, ratio = 0.152629
k = 905, p# = 275.000000, sp# = 1809.000000, ratio = 0.152018
k = 925, p# = 282.000000, sp# = 1849.000000, ratio = 0.152515
k = 945, p# = 285.000000, sp# = 1889.000000, ratio = 0.150873
k = 965, p# = 291.000000, sp# = 1929.000000, ratio = 0.150855
k = 985, p# = 295.000000, sp# = 1969.000000, ratio = 0.149822
k = 1005, p# = 303.000000, sp# = 2009.000000, ratio = 0.150821
k = 1025, p# = 309.000000, sp# = 2049.000000, ratio = 0.150805
k = 1045, p# = 312.000000, sp# = 2089.000000, ratio = 0.149354
k = 1065, p# = 315.000000, sp# = 2129.000000, ratio = 0.147957
k = 1085, p# = 323.000000, sp# = 2169.000000, ratio = 0.148917
k = 1105, p# = 329.000000, sp# = 2209.000000, ratio = 0.148936
k = 1125, p# = 334.000000, sp# = 2249.000000, ratio = 0.148510
k = 1145, p# = 340.000000, sp# = 2289.000000, ratio = 0.148536
k = 1165, p# = 347.000000, sp# = 2329.000000, ratio = 0.148991
k = 1185, p# = 352.000000, sp# = 2369.000000, ratio = 0.148586
k = 1205, p# = 357.000000, sp# = 2409.000000, ratio = 0.148194
k = 1225, p# = 361.000000, sp# = 2449.000000, ratio = 0.147407
k = 1245, p# = 363.000000, sp# = 2489.000000, ratio = 0.145842
k = 1265, p# = 368.000000, sp# = 2529.000000, ratio = 0.145512
k = 1285, p# = 374.000000, sp# = 2569.000000, ratio = 0.145582
k = 1305, p# = 377.000000, sp# = 2609.000000, ratio = 0.144500
k = 1325, p# = 386.000000, sp# = 2649.000000, ratio = 0.145715
k = 1345, p# = 390.000000, sp# = 2689.000000, ratio = 0.145035
k = 1365, p# = 396.000000, sp# = 2729.000000, ratio = 0.145108
